
starting calculations for phase 1
-0.4000000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3900000000, 1.0000000000, Maximum iterations reached in field optimization, time: 17
-0.3800000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3700000000, 1.0000000000, Maximum iterations reached in field optimization, time: 8
-0.3600000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3500000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3400000000, 1.0000000000, Maximum iterations reached in field optimization, time: 10
-0.3300000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3200000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3100000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3000000000, 1.0000000000, maximum iterations reached, time: 31
-0.2900000000, 1.0000000000, maximum iterations reached, time: 23
-0.2800000000, 1.0000000000, maximum iterations reached, time: 17
-0.1400000000, 1.0000000000, -0.1393231134, 5, time: 6
-0.1500000000, 1.0000000000, -0.1466226184, 5, time: 6
-0.1600000000, 1.0000000000, -0.1540939254, 4, time: 6
-0.1700000000, 1.0000000000, -0.1617374455, 4, time: 7
-0.1800000000, 1.0000000000, -0.1695536072, 4, time: 7
-0.1900000000, 1.0000000000, -0.1775428468, 4, time: 7
-0.2000000000, 1.0000000000, -0.1857056075, 4, time: 7
-0.2100000000, 1.0000000000, -0.1940423399, 5, time: 7
-0.2200000000, 1.0000000000, -0.2025534999, 5, time: 8
-0.2300000000, 1.0000000000, -0.2112395502, 5, time: 8
-0.2400000000, 1.0000000000, -0.2201009556, 5, time: 8
-0.2500000000, 1.0000000000, -0.2291381848, 5, time: 8
-0.2600000000, 1.0000000000, -0.2383517098, 5, time: 8
-0.2700000000, 1.0000000000, -0.2477420054, 4, time: 8
-0.2800000000, 1.0000000000, -0.2573095454, 3, time: 6
-0.2900000000, 1.0000000000, -0.2670548112, 4, time: 7
-0.3000000000, 1.0000000000, -0.2769782778, 4, time: 8
-0.3100000000, 1.0000000000, -0.2870804222, 4, time: 8
-0.3200000000, 1.0000000000, -0.2973617281, 5, time: 9
-0.3300000000, 1.0000000000, -0.3078226677, 5, time: 8
-0.3400000000, 1.0000000000, -0.3184637222, 5, time: 8
-0.3500000000, 1.0000000000, -0.3292853690, 5, time: 8
-0.3600000000, 1.0000000000, -0.3402880810, 5, time: 9
-0.3700000000, 1.0000000000, -0.3514723319, 4, time: 8
-0.3800000000, 1.0000000000, -0.3628386059, 6, time: 9
-0.3900000000, 1.0000000000, -0.3743873636, 4, time: 8

starting calculations for phase 6
-0.1000000000, 1.0000000000, -0.1118352130, 7, time: 62
-0.0900000000, 1.0000000000, -0.1053889405, 3, time: 5
-0.0800000000, 1.0000000000, -0.0991122956, 5, time: 7
-0.0700000000, 1.0000000000, -0.0930049778, 3, time: 5
-0.0600000000, 1.0000000000, -0.0870667410, 3, time: 6
-0.0500000000, 1.0000000000, -0.0812973535, 3, time: 5
-0.0400000000, 1.0000000000, -0.0756966286, 3, time: 5
-0.0300000000, 1.0000000000, -0.0702644409, 3, time: 5
-0.0200000000, 1.0000000000, -0.0650006791, 3, time: 5
-0.0100000000, 1.0000000000, -0.0599053310, 2, time: 4
0.0000000000, 1.0000000000, -0.0549784347, 2, time: 5
0.0100000000, 1.0000000000, -0.0502201014, 2, time: 4
0.0200000000, 1.0000000000, -0.0456305482, 3, time: 5
0.0300000000, 1.0000000000, -0.0412101047, 3, time: 5
0.0400000000, 1.0000000000, -0.0369592198, 3, time: 5
0.0500000000, 1.0000000000, -0.0328785140, 3, time: 5
0.0600000000, 1.0000000000, -0.0289687890, 3, time: 5
0.0700000000, 1.0000000000, -0.0252310844, 4, time: 6
0.0800000000, 1.0000000000, -0.0216667301, 3, time: 6
0.0900000000, 1.0000000000, -0.0182774290, 3, time: 6
0.1000000000, 1.0000000000, -0.0150653501, 4, time: 6
0.1100000000, 1.0000000000, -0.0120332929, 4, time: 7
0.1200000000, 1.0000000000, -0.0091849141, 4, time: 7
0.1300000000, 1.0000000000, -0.0065250707, 4, time: 7
0.1400000000, 1.0000000000, -0.0040604372, 5, time: 7
0.1500000000, 1.0000000000, -0.0018005799, 5, time: 8
0.1600000000, 1.0000000000, 0.0002397262, 5, time: 9
0.1700000000, 1.0000000000, 0.0020343843, 5, time: 9
0.1800000000, 1.0000000000, 0.0035179284, 5, time: 11
0.1900000000, 1.0000000000, 0.0000000046, 2, time: 30
0.2000000000, 1.0000000000, 0.0000000046, 1, time: 0
0.2100000000, 1.0000000000, 0.0000000046, 1, time: 0
0.2200000000, 1.0000000000, 0.0000000045, 1, time: 0
0.2300000000, 1.0000000000, 0.0000000045, 1, time: 0
0.2400000000, 1.0000000000, 0.0000000044, 1, time: 0
0.2500000000, 1.0000000000, 0.0000000044, 1, time: 0

starting calculations for phase 7
-0.1000000000, 1.0000000000, -0.1121766934, 7, time: 176
-0.1100000000, 1.0000000000, -0.1187929753, 5, time: 42
-0.1200000000, 1.0000000000, -0.1255788705, 5, time: 42
-0.1300000000, 1.0000000000, -0.1325347328, 5, time: 43
-0.1400000000, 1.0000000000, -0.1396609221, 4, time: 33
-0.1500000000, 1.0000000000, -0.1469578252, 5, time: 46
-0.1600000000, 1.0000000000, -0.1544258293, 9, time: 63
-0.1700000000, 1.0000000000, -0.1620653430, 7, time: 64
-0.1800000000, 1.0000000000, -0.1698767780, 6, time: 51
-0.1900000000, 1.0000000000, -0.1778605607, 5, time: 52
-0.2000000000, 1.0000000000, -0.1860171267, 4, time: 54
-0.2100000000, 1.0000000000, -0.1943469160, 4, time: 54
-0.2200000000, 1.0000000000, -0.2028503779, 4, time: 51
-0.2300000000, 1.0000000000, -0.2115279653, 6, time: 55
-0.2400000000, 1.0000000000, -0.2203801314, 5, time: 62
-0.2500000000, 1.0000000000, -0.2294073388, 4, time: 49
-0.2600000000, 1.0000000000, -0.2386100546, 4, time: 59
-0.2700000000, 1.0000000000, -0.2479887454, 4, time: 53
-0.2800000000, 1.0000000000, -0.2575438820, 6, time: 63
-0.2900000000, 1.0000000000, -0.2672759315, 6, time: 55
-0.3000000000, 1.0000000000, -0.2771853666, 6, time: 69
-0.3100000000, 1.0000000000, -0.2872726637, 5, time: 71
-0.3200000000, 1.0000000000, -0.2975382952, 5, time: 68
-0.3300000000, 1.0000000000, -0.3079827347, 5, time: 70
-0.3400000000, 1.0000000000, -0.3186064603, 5, time: 67
-0.3500000000, 1.0000000000, -0.3294099411, 6, time: 63
-0.3600000000, 1.0000000000, -0.3403936507, 5, time: 72
-0.3700000000, 1.0000000000, -0.3515580638, 5, time: 73
-0.3800000000, 1.0000000000, -0.3629036490, 5, time: 73
-0.3900000000, 1.0000000000, -0.3744308797, 5, time: 73

starting calculations for phase 7
-0.1000000000, 1.0000000000, -0.1121766934, 7, time: 180
-0.0900000000, 1.0000000000, -0.1057297191, 5, time: 37
-0.0800000000, 1.0000000000, -0.0994517383, 3, time: 38
-0.0700000000, 1.0000000000, -0.0933424754, 3, time: 36
-0.0600000000, 1.0000000000, -0.0874016854, 3, time: 34
-0.0500000000, 1.0000000000, -0.0816291559, 3, time: 35
-0.0400000000, 1.0000000000, -0.0760247164, 4, time: 38
-0.0300000000, 1.0000000000, -0.0705882126, 2, time: 26
-0.0200000000, 1.0000000000, -0.0653196335, 2, time: 36
-0.0100000000, 1.0000000000, -0.0602188914, 2, time: 25
0.0000000000, 1.0000000000, -0.0552860676, 2, time: 25
0.0100000000, 1.0000000000, -0.0505212903, 3, time: 29
0.0200000000, 1.0000000000, -0.0459247758, 3, time: 28
0.0300000000, 1.0000000000, -0.0414968591, 3, time: 29
0.0400000000, 1.0000000000, -0.0372380004, 3, time: 29
0.0500000000, 1.0000000000, -0.0331488198, 4, time: 35
0.0600000000, 1.0000000000, -0.0292301235, 4, time: 35
0.0700000000, 1.0000000000, -0.0254829488, 4, time: 36
0.0800000000, 1.0000000000, -0.0219086211, 4, time: 36
0.0900000000, 1.0000000000, -0.0185088257, 4, time: 37
0.1000000000, 1.0000000000, -0.0152857189, 5, time: 39
0.1100000000, 1.0000000000, -0.0122420670, 4, time: 43
0.1200000000, 1.0000000000, -0.0093814724, 4, time: 42
0.1300000000, 1.0000000000, -0.0067087192, 4, time: 41
0.1400000000, 1.0000000000, -0.0042303531, 4, time: 42
0.1500000000, 1.0000000000, -0.0019557274, 4, time: 45
0.1600000000, 1.0000000000, 0.0001007903, 4, time: 48
0.1700000000, 1.0000000000, 0.0019140937, 4, time: 56
0.1800000000, 1.0000000000, 0.0034228313, 4, time: 79
0.1900000000, 1.0000000000, 0.0000000020, 3, time: 136
0.2000000000, 1.0000000000, 0.0000000020, 1, time: 0
0.2100000000, 1.0000000000, 0.0000000019, 1, time: 0
0.2200000000, 1.0000000000, 0.0000000019, 1, time: 0
0.2300000000, 1.0000000000, 0.0000000019, 1, time: 0
